"Min","GilNK","TeudaGvoha","MachozMegurim","WFH_Exposure","n_cell"
2,"4","Matriculation (Bagrut)","3",0.195638367584975,142358.269679
2,"4","Matriculation (Bagrut)","4",0.235846993967662,358154.894216
2,"4","Matriculation (Bagrut)","5",0.227445217679381,265374.514612
2,"4","Matriculation (Bagrut)","6",0.22047038355029,209098.979075
2,"4","Matriculation (Bagrut)","7",0.267893759409445,47378.056681
2,"4","Post-secondary, non-academic","1",0.208680794738011,154869.055437
2,"4","Post-secondary, non-academic","2",0.194555823631813,121060.712006
2,"4","Post-secondary, non-academic","3",0.224072798395692,103468.256766
2,"4","Post-secondary, non-academic","4",0.239260433443824,220206.232397
2,"4","Post-secondary, non-academic","5",0.221574645909882,199335.750602
2,"4","Post-secondary, non-academic","6",0.198304672374254,106977.748799
2,"4","Post-secondary, non-academic","7",0.215339958791416,114719.796838
2,"4","Academic Degree (BA/MA/PhD)","1",0.259674223744594,463122.896996
2,"4","Academic Degree (BA/MA/PhD)","2",0.21285188088492,595705.069294
2,"4","Academic Degree (BA/MA/PhD)","3",0.282287154676129,550991.066684
2,"4","Academic Degree (BA/MA/PhD)","4",0.278309051081268,1178230.958824
2,"4","Academic Degree (BA/MA/PhD)","5",0.314515803061166,1082029.572491
2,"4","Academic Degree (BA/MA/PhD)","6",0.249490593302535,555961.377929
2,"4","Academic Degree (BA/MA/PhD)","7",0.230900282182939,211163.195976
2,"4","Other/No Certificate","1",0.371093367441679,8513.859999
2,"4","Other/No Certificate","2",0.184382233241572,7994.249227
2,"4","Other/No Certificate","3",0.195228445823164,5573.777007
2,"4","Other/No Certificate","4",0.273567579673844,16237.888523
2,"4","Other/No Certificate","5",0.15032426536992,7361.079476
2,"4","Other/No Certificate","6",0.140724627942249,4815.194505
2,"4","Other/No Certificate","7",0.285642286540879,4168.403192
2,"4",NA,"1",0.248262813366361,11300.094155
2,"4",NA,"2",0.230540714216232,11777.798997
2,"4",NA,"3",0.247662030215355,11862.713713
2,"4",NA,"4",0.262625107204953,37020.724708
2,"4",NA,"5",0.266632503432282,43186.321256
2,"4",NA,"6",0.254143248255422,13293.641735
2,"4",NA,"7",0.187089238188278,2632.066684
2,"5","Below High School","1",0.182968982993673,65329.485656
2,"5","Below High School","2",0.126310316212129,138038.765405
2,"5","Below High School","3",0.178815348309893,78719.259273
2,"5","Below High School","4",0.161650307762766,92340.732307
2,"5","Below High School","5",0.195677586213094,88170.686038
2,"5","Below High School","6",0.160047416787463,86042.465283
2,"5","Below High School","7",0.287023207832119,4127.160758
2,"5","High School (no matriculation)","1",0.217796732091077,132037.359724
2,"5","High School (no matriculation)","2",0.197137101182128,214713.097505
2,"5","High School (no matriculation)","3",0.191696910382851,185756.506237
2,"5","High School (no matriculation)","4",0.207525311430997,422066.443133
2,"5","High School (no matriculation)","5",0.219673821876746,266848.717357
2,"5","High School (no matriculation)","6",0.201049291585417,262203.544428
2,"5","High School (no matriculation)","7",0.23608249213987,69545.108636
2,"5","Matriculation (Bagrut)","1",0.216118834104196,179537.912731
2,"5","Matriculation (Bagrut)","2",0.198144343788719,387219.455856
2,"5","Matriculation (Bagrut)","3",0.223258098122513,242014.135471
2,"5","Matriculation (Bagrut)","4",0.218941487993532,675945.483244
2,"5","Matriculation (Bagrut)","5",0.218211260041985,469424.670079
2,"5","Matriculation (Bagrut)","6",0.190271552043648,366545.22966
2,"5","Matriculation (Bagrut)","7",0.202024032793526,86004.531431
2,"5","Post-secondary, non-academic","1",0.226633258020545,231615.536664
2,"5","Post-secondary, non-academic","2",0.214031054417761,269209.945478
2,"5","Post-secondary, non-academic","3",0.210903841267512,287580.504157
2,"5","Post-secondary, non-academic","4",0.224546614281965,599963.119578
2,"5","Post-secondary, non-academic","5",0.233668683817664,401800.186427
2,"5","Post-secondary, non-academic","6",0.213590636448975,294230.380184
2,"5","Post-secondary, non-academic","7",0.223837673403866,145213.561819
2,"5","Academic Degree (BA/MA/PhD)","1",0.254481372251313,678066.581978
2,"5","Academic Degree (BA/MA/PhD)","2",0.224858071349116,1058187.208248
2,"5","Academic Degree (BA/MA/PhD)","3",0.264403421603286,958000.842899
2,"5","Academic Degree (BA/MA/PhD)","4",0.27019644523023,2676613.248924
2,"5","Academic Degree (BA/MA/PhD)","5",0.295123752641907,1788088.744681
2,"5","Academic Degree (BA/MA/PhD)","6",0.207932205386109,930494.264212
2,"5","Academic Degree (BA/MA/PhD)","7",0.216114773955172,392374.195289
2,"5","Other/No Certificate","1",0.213798466977099,7184.994125
2,"5","Other/No Certificate","2",0.162508818236368,16758.77814
2,"5","Other/No Certificate","3",0.255964521190778,18506.794121
2,"5","Other/No Certificate","4",0.219571709700432,35126.226109
2,"5","Other/No Certificate","5",0.186984048373333,21555.055284
2,"5","Other/No Certificate","6",0.173023301151337,32712.738838
2,"5","Other/No Certificate","7",0.242947635822939,2906.413359
2,"5",NA,"1",0.267286977033499,25014.944187
2,"5",NA,"2",0.271665657707377,27744.172401
2,"5",NA,"3",0.274855123624289,27509.330922
2,"5",NA,"4",0.266684465471033,82103.161503
2,"5",NA,"5",0.299010381956716,75955.319531
2,"5",NA,"6",0.235229426352456,33562.611578
2,"5",NA,"7",0.282982629539167,5338.498784
2,"6","Below High School","1",0.163001364254151,58616.166587
2,"6","Below High School","2",0.113982426631305,165591.459917
2,"6","Below High School","3",0.120046577417325,83697.614578
2,"6","Below High School","4",0.158641042885288,126700.854171
2,"6","Below High School","5",0.19102279920743,95330.144894
2,"6","Below High School","6",0.167566798410498,110281.683994
2,"6","Below High School","7",0.231971100585863,9210.622334
2,"6","High School (no matriculation)","1",0.224365945685993,128766.591797
2,"6","High School (no matriculation)","2",0.195180859916992,228305.172984
2,"6","High School (no matriculation)","3",0.204621143737621,192433.070745
2,"6","High School (no matriculation)","4",0.209871597405458,481320.201798
2,"6","High School (no matriculation)","5",0.209278231532465,363625.63726
2,"6","High School (no matriculation)","6",0.197966264475614,326870.806105
2,"6","High School (no matriculation)","7",0.23729889127913,54380.955191
2,"6","Matriculation (Bagrut)","1",0.197612624283338,156717.020633
2,"6","Matriculation (Bagrut)","2",0.205973851030748,275773.610908
2,"6","Matriculation (Bagrut)","3",0.198349207251438,213730.515751
2,"6","Matriculation (Bagrut)","4",0.203413021295739,728157.342557
2,"6","Matriculation (Bagrut)","5",0.212873159762296,408344.858983
2,"6","Matriculation (Bagrut)","6",0.206018450152334,338285.339304
2,"6","Matriculation (Bagrut)","7",0.244407391351003,79025.005473
2,"6","Post-secondary, non-academic","1",0.193824385753746,157616.853773
2,"6","Post-secondary, non-academic","2",0.199002743491889,279021.037083
